"country";"year";"population";"gdp";"carbon_intensity_elec";"coal_electricity";"coal_production";"electricity_demand";"electricity_generation";"energy_per_gdp";"fossil_electricity";"gas_electricity";"gas_production";"greenhouse_gas_emissions";"hydro_electricity";"net_elec_imports";"nuclear_consumption";"nuclear_electricity";"oil_electricity";"oil_production";"other_renewable_electricity";"primary_energy_consumption";"renewables_electricity";"solar_electricity";"wind_electricity"
"Ecuador";2001;12.845523;7.01105632771823;19.7157406514316;0;0;0.83842440669796;0.836088962668161;0.0911601652965006;0.29115202238165;0.0264683656710591;0.167762729473919;0.211746925368473;0.544936940286511;0.00233544402979933;0;0;0.264683656710591;19.835471082026;0;8.21165475317743;0.544936940286511;0;0
"Ecuador";2002;13.070617;7.22269022189236;19.3915864874627;0;0;0.888251870588818;0.884426496469141;0.0843877530800573;0.314445752637385;0.0459044894361146;0.103055578784077;0.224166923413026;0.569980743831756;0.00382537411967622;0;0;0.26854126320127;18.7505302924873;0;7.96511748450743;0.569980743831756;0;0
"Ecuador";2003;13.301188;7.34104115933103;19.1138565968694;0;0;0.921722180003771;0.842781862793008;0.082097929899194;0.30824314339441;0.0714221917621193;0.151866134062612;0.214266575286358;0.534538719398598;0.0789403172107634;0;0;0.23682095163229;19.6439596222533;0;8.01484799703606;0.534538719398598;0;0
"Ecuador";2004;13.534598;7.86118771226157;22.2387838929534;0;0;1.08610540187451;0.967151000716829;0.079204421143502;0.424837146991732;0.0908782070956226;0.169122126863317;0.291105801590856;0.542313853725098;0.118954401157685;0;0;0.333958939896109;24.3456806031476;0;8.42699576300678;0.542313853725098;0;0
"Ecuador";2005;13.770015;8.19220048663709;21.4577108303804;0;0;1.00653485126923;0.882351980008736;0.0777050714904813;0.381989416859749;0.0922293839186087;0.254248089054369;0.260711408084886;0.494552838177736;0.124182871260489;0;0;0.289760032941141;24.1357035558785;0.00580972497125094;8.76723808942837;0.500362563148987;0;0
"Ecuador";2006;14.009064;8.46559307145717;22.5445468733671;0;0;1.07715975885327;0.965089459224399;0.076878797898275;0.452564139902566;0.12491912379014;0.26918286617864;0.304802662047943;0.503959436547652;0.112070299628869;0;0;0.327645016112425;23.8876059100023;0.00856588277418106;9.11452756586736;0.512525319321833;0;0
"Ecuador";2007;14.251838;8.56277900885486;21.6969909425016;0;0;1.22159682140647;1.1640603829485;0.0771830271997198;0.522037929423559;0.114371213032312;0.259826136109602;0.359953572304148;0.627989175852265;0.0575364384579729;0;0;0.407666716391247;22.4051101338648;0.0140332776726763;9.42004813694907;0.642022453524942;0;0
"Ecuador";2008;14.4968;9.01448882512003;18.3973704541692;0;0;1.29131946360576;1.25958832294024;0.075602891672645;0.474587495171348;0.0882953479388555;0.20749406765631;0.335936206611114;0.771204679653441;0.0317311406655262;0;0;0.386292147232493;21.8121930357044;0.0137961481154462;9.88390541360852;0.785000827768887;0;0
"Ecuador";2009;14.742768;8.97685740425407;22.244262407168;0;0;1.290802378495;1.21618952424674;0.0716283400783354;0.582658561811459;0.131589942946942;0.219633110959896;0.398839620890731;0.619286690260608;0.074612854248266;0;0;0.451068618864517;20.6010160371512;0.014244272174669;9.48295462561712;0.633530962435277;0;0
"Ecuador";2010;14.989581;9.20340253513424;24.1559120298293;0;0;1.31024342841871;1.25287024367125;0.0750521312103387;0.667797185258214;0.149437132365474;0.240833949928287;0.453648437538047;0.570396197198574;0.0573731847474589;0;0;0.518360052892739;20.262741166681;0.0146768612144662;10.3534581787176;0.58507305841304;0;0
"Ecuador";2011;15.237734;9.83402953116257;19.7176955576203;0;0;1.38800165431422;1.30399966294201;0.0721235847797317;0.563732113974427;0.113533941464;0.172991600982141;0.391790537884439;0.723204644470103;0.084001991372208;0;0;0.450198172510427;20.4618350733777;0.0170629044974797;10.8050186464733;0.740267548967583;0;0
"Ecuador";2012;15.483884;10.223262990087;19.7548625396574;0;0;1.44214461952828;1.42729046536386;0.0709770235943385;0.62645780606468;0.117541567735847;0.365283025886787;0.436582965876004;0.782749341185971;0.0148541541644202;0;0;0.508916238328833;20.3534849524835;0.0180833181132073;11.2331634620874;0.800832659299178;0;0
"Ecuador";2013;15.722988;10.5659468146894;21.6538357721827;0;0;1.46727835701458;1.42720963725216;0.068752835020926;0.710424761502076;0.150734707677701;0.35832883673256;0.485912728547525;0.695160487306866;0.0400687197624268;0;0;0.559690053824375;20.8906856635647;0.0178083198944119;11.41697748545;0.71678487575008;0;0.00381606854880256
"Ecuador";2014;15.957995;10.8260522342562;21.2444608486216;0;0;1.51898781770517;1.4694828516991;0.0683669846995189;0.728788297026036;0.162927736222502;0.396227721590338;0.498182885757265;0.710615587985834;0.0495049660060678;0;0;0.565860560803535;21.7397611667381;0.0238125152940579;11.8162087405091;0.740694554673065;0.00125329027863463;0.00501316111453851
"Ecuador";2015;16.195904;10.6844828717187;19.6044012115656;0;0;1.57694192309364;1.54792224009231;0.0671157349413778;0.714995593947704;0.158064656347679;0.335702162719661;0.491482290831064;0.800819762823983;0.0290196830013317;0;0;0.556930937600025;20.9023837138081;0.0234627224266086;11.6107134248264;0.832926646144606;0.00246976025543248;0.00617440063858121
"Ecuador";2016;16.439588;10.2972383006192;17.0051706891925;0;0;1.63203603399307;1.65150124200193;0.0673374539556587;0.660600496800771;0.145989060066469;0.363999389765729;0.461690402460208;0.953795192434263;-0.0194652080088625;0;0;0.514611436734303;20.8503400450182;0.0298060997635707;11.3995557552902;0.990900745201157;0.00243315100110781;0.00486630200221563
"Ecuador";2017;16.696947;10.3786017254532;11.6383552034992;0;0;1.6559913617741;1.66737068758738;0.0672578046753098;0.441996971063033;0.0982215491251185;1.74984085413938;0.324011329735909;1.19123573908452;-0.0113793258132759;0;0;0.343775421937915;19.8353028251213;0.0275499467058259;11.6581791868897;1.22537371652434;0.00239564753963704;0.00419238319436481
"Ecuador";2018;17.015672;10.3154712657837;11.9643820120651;0;2.92177705353042;1.69725885642365;1.70607425907128;0.0689364487044649;0.470742501383431;0.082277091377878;14.9054941820693;0.347326864316614;1.20300861464654;-0.00881540264762978;0;0;0.388465410005553;18.9482378362723;0.0252708209232054;12.1001392128386;1.23533175768785;0.00235077403936794;0.00470154807873589
